income,life_expectancy,education
2100,61.9,4.04
8240,63,7.11
116000,78.2,11.8
502000,82,14.2
624000,73,12.3
236000,76.5,11.9
11000,75.2,12.4
181000,76,13.1
474000,82.7,14
53000,81.5,13
149000,69.9,12.9
886,61.4,5.31
489000,81,13.8
2980,62.3,5.47
1910,59.4,3
3510,73,6.41
188000,73,12.7
482000,76.6,9.66
357000,73.6,12.6
121000,76.7,11.2
191000,73.1,14
7210,74.3,9.66
7730,71.1,10.6
157000,74.8,8.36
15000,76.5,10.1
642000,74,14.5
9570,72.1,6.51
173000,60.1,7.53
823,47.5,7.04
477000,82.2,15.3
658000,83.5,14.5
242000,79.5,12.6
119000,76.4,10.9
3460,60.2,6.29
3360,59.5,8.81
1030,61.8,8.81
5560,62.9,10.1
139000,79.7,9.94
3000,67.2,7.38
6280,75,6.83
182000,80.5,9.89
8770,78.7,12.4
331000,80.4,14
345000,79,14
509000,81,13.9
4240,64.9,8.27
122000,72.2,11.1
522000,80.8,14.4
145000,72.2,9.88
115000,75.3,8.38
121000,75.6,10.6
104000,70.3,10.9
1340,61.8,6.25
361000,82.8,12.7
307000,77.3,13.3
1660,66.3,6.01
45000,81.4,14.1
121000,68,11.5
432000,82.6,13.1
3340,64.2,12.6
154000,65.9,10.1
442000,81.1,14.4
123000,73.2,13.8
4680,63.9,8.98
2060,57.9,4.92
2040,65,6.38
1740,58.3,4.9
324000,65,9.63
286000,81,13.2
143000,73,10.1
7940,71.6,7.42
112000,66,10.2
564000,83.6,7.78
5180,69.9,11.7
239000,77.9,8.06
2940,61.9,13.2
265000,76,9.99
9800,70.2,8.4
5110,69,13.7
574000,81.5,11.1
13000,76.5,9.6
104000,69.9,13.8
497000,83.7,15
376000,82,13.6
40000,82.8,11.8
9440,76.3,12.3
103000,78.1,15
394000,84.1,13.3
244000,70.1,9.96
3710,63.8,13.1
4720,71.6,7.16
3360,68.6,9.48
1990,59.7,14.7
255000,72.1,11.9
381000,82.3,7.18
566000,81.6,10.7
6190,67.2,7.05
17000,75.8,8.57
1620,59.9,10.8
122000,74.3,11
143000,75.6,7.98
114000,76.1,13.5
2680,47.9,13.6
30000,74.6,13.4
109000,82,6.71
255000,74.7,12.7
6920,72.3,6.84
651000,79.4,7.79
103000,72.3,10.7
1540,63.8,10.3
176000,78.7,12.2
189000,75.6,2.93
3580,64.8,11.2
146000,74,7.33
2080,59.5,12.8
372000,81.8,10.7
4020,67.3,5.15
177000,75.2,6.41
11000,67.2,10.3
1220,54.9,6.96
5010,69.3,11.6
192000,75,9.05
1030,61.5,2.82
239000,75.1,9
102000,63.3,7.9
1130,60.4,14.4
5520,61.6,14.8
5440,74.5,7.06
524000,81.6,14.3
626000,82.2,9.53
2830,69.9,7.42
114000,61.9,11.3
405000,81.5,11.9
305000,72.3,10.8
4170,64.2,8.15
274000,78.9,13.9
119000,78.9,12.4
6970,71,10.4
171000,67.1,9.13
3910,63.7,11.3
267000,77.6,8.7
2060,71.9,13.4
305000,81.3,13.8
116000,76.4,6.08
5970,74.5,12.3
956000,74.9,7.44
232000,75,4.8
261000,71,13.8
1780,67.2,8.78
482000,73.2,4.74
4090,68.7,9.2
2870,66.8,3.83
878000,83.8,12.4
2550,58.1,3.21
2000,57.1,7.51
7990,73.5,9.87
57000,82,13.4
694,56.6,13.3
153000,75,14.4
2430,60.9,9.56
3720,69.8,11.3
182000,72.7,9.77
275000,76.9,4.69
332000,81.3,7.39
494000,82.5,9.69
8190,53.5,12.4
25000,73.5,13.7
4070,63.6,8.06
1870,58.3,11.6
1400,61.8,12.3
159000,78.1,11
2730,68.6,10.2
124000,69.9,13.8
3270,70.3,7.84
5870,72.5,8.04
288000,74.9,13.9
105000,76.8,10.8
25000,77.1,14.5
3450,67.2,12.6
477000,80,10.1
2290,64.5,10.4
2020,63.2,9.56
124000,71.7,9.23
206000,77.1,12.2
573000,79.1,7.66
5760,67.2,10.9
118000,72.6,8.98
234000,75.6,10.9
